Country;Constructor;Chassis;Power unit
Italy;Ferrari;SF16-H;Ferrari 061
India;Force India-Mercedes;VJM09;Mercedes PU106C Hybrid
United States;Haas-Ferrari;VF-16;Ferrari 061
United Kingdom;McLaren-Honda;MP4-31;Honda RA616H
Germany;Mercedes;F1 W07 Hybrid;Mercedes PU106C Hybrid
United Kingdom;MRT-Mercedes;MRT05;Mercedes PU106C Hybrid
Austria;Red Bull Racing-TAG Heuer;RB12;TAG Heuer
France;Renault;R.S.16;Renault R.E.16
Switzerland;Sauber-Ferrari;C35;Ferrari 061
Italy;Toro Rosso-Ferrari;STR11;Ferrari 060
United Kingdom;Williams-Mercedes;FW38;Mercedes PU106C Hybrid
